CODIGO;DESCRICAO;MARCA;LINHA;EMBAL;
7898951180055;ALCOOL LIQ 46° LUAR 1L LAVANDA;LUAR MAGICO;LIMPEZA;12;
7898951180017;ALCOOL LIQ 46° LUAR 1L TRADICIONAL;LUAR MAGICO;LIMPEZA;12;
7898951180086;ALCOOL LIQ 46° LUAR 500ML EUCALIPTO;LUAR MAGICO;LIMPEZA;12;
7898951180062;ALCOOL LIQ 46° LUAR 500ML LAVANDA;LUAR MAGICO;LIMPEZA;12;
7898951180024;ALCOOL LIQ 46° LUAR 500ML TRADICIONAL;LUAR MAGICO;LIMPEZA;12;
7898951180628;ALCOOL LIQ 70° BALCAO 1L;LUAR MAGICO;LIMPEZA;12;
7898951180291;LIMPA ALUMINIO 500ML LUAR;LUAR MAGICO;LIMPEZA;12;
7898951180284;LIMPA LIMO 500ML LUAR;LUAR MAGICO;LIMPEZA;12;
7898951180307;LIMPA VIDROS 500ML LUAR;LUAR MAGICO;LIMPEZA;12;
7898951180345;MULTIUSO LUAR 500ML CAMPESTRE;LUAR MAGICO;LIMPEZA;12;
7898650860401;MULTIUSO LUAR 500ML LARANJA;LUAR MAGICO;LIMPEZA;12;
7898650860418;MULTIUSO LUAR 500ML TRADICIONAL;LUAR MAGICO;LIMPEZA;12;
7898650860609;REMOVEDOR LUAR ECOLOGICO 1L;LUAR MAGICO;LIMPEZA;12;
7898650860623;REMOVEDOR LUAR ECOLOGICO 500ML;LUAR MAGICO;LIMPEZA;12;
42882980759;PAPEL HIG LUXY LV12 PG11 FOLHA DUPLA 20M NEUTRO;LUXY;LIMPEZA;6;
42882980766;PAPEL HIG LUXY PREMIUM LV12 PG11 FOLHA DUPLA 30M NEUTRO;LUXY;LIMPEZA;6;
7896706303681;ACHOC PO NEILAR CAUFORT 400G SACHE;NEILAR;MERCEARIA;20;
7896706300642;AMIDO DE MILHO MAISCERTA NEILAR 200G;NEILAR;MERCEARIA;48;
7896706300529;AMIDO DE MILHO MAISCERTA NEILAR 500G;NEILAR;MERCEARIA;24;
7896706304060;AVEIA EM FLOCOS FINOS NEILAR 150G;NEILAR;MERCEARIA;12;
7896706304053;AVEIA EM FLOCOS NEILAR 150G;NEILAR;MERCEARIA;12;
7896706304015;CANJAO NEILAR 200G SABOR GALINHA;NEILAR;MERCEARIA;16;
7896706304886;CHOCOLATE EM PO NEILAR 200G 100% CACAU;NEILAR;MERCEARIA;12;
7896706304879;CHOCOLATE EM PO NEILAR 200G 50% CACAU;NEILAR;MERCEARIA;12;
7896706300895;CHOCOLATE EM PO NEILAR 200G SOLUVEL;NEILAR;MERCEARIA;24;
7896706304275;CREME DE CEBOLA NEILAR 60G;NEILAR;MERCEARIA;18;
7896706304046;FARINHA DE AVEIA NEILAR 150G;NEILAR;MERCEARIA;12;
7896706305258;FAROFA NEILAR 200G BACON;NEILAR;MERCEARIA;15;
7896706305265;FAROFA NEILAR 200G PICANHA;NEILAR;MERCEARIA;15;
7896706305241;FAROFA NEILAR 200G TRADICIONAL;NEILAR;MERCEARIA;15;
7896706301113;GELATINA NEILAR 20G ABACAXI;NEILAR;MERCEARIA;48;
7896706303728;GELATINA NEILAR 20G AMORA;NEILAR;MERCEARIA;48;
7896706303711;GELATINA NEILAR 20G BLUEBERRY;NEILAR;MERCEARIA;48;
7896706301168;GELATINA NEILAR 20G CEREJA;NEILAR;MERCEARIA;48;
7896706301151;GELATINA NEILAR 20G FRAMBOESA;NEILAR;MERCEARIA;48;
7896706301137;GELATINA NEILAR 20G LIMAO;NEILAR;MERCEARIA;48;
7896706301175;GELATINA NEILAR 20G MARACUJA;NEILAR;MERCEARIA;48;
7896706301120;GELATINA NEILAR 20G MORANGO;NEILAR;MERCEARIA;48;
7896706301182;GELATINA NEILAR 20G PESSEGO;NEILAR;MERCEARIA;48;
7896706301144;GELATINA NEILAR 20G UVA;NEILAR;MERCEARIA;48;
7896706302233;GELATINA NEILAR SEM SABOR 24G;NEILAR;MERCEARIA;90;
7896706301977;GELATINA NEILAR ZERO ACUCAR 12G ABACAXI;NEILAR;MERCEARIA;24;
7896706304039;GELATINA NEILAR ZERO ACUCAR 12G FRAMBOESA;NEILAR;MERCEARIA;24;
7896706301984;GELATINA NEILAR ZERO ACUCAR 12G LIMAO;NEILAR;MERCEARIA;24;
7896706304022;GELATINA NEILAR ZERO ACUCAR 12G MARACUJA;NEILAR;MERCEARIA;24;
7896706301991;GELATINA NEILAR ZERO ACUCAR 12G MORANGO;NEILAR;MERCEARIA;24;
7896706302004;GELATINA NEILAR ZERO ACUCAR 12G UVA;NEILAR;MERCEARIA;24;
7896706303513;MARIA MOLE NEILAR 50G COCO;NEILAR;MERCEARIA;24;
7896706303520;MARIA MOLE NEILAR 50G MORANGO;NEILAR;MERCEARIA;24;
7896706303964;MISTURA PÓ VITAMINE NEILAR 400G SACHE MORANGO;NEILAR;MERCEARIA;9;
7896706300376;PUDIM NEILAR 30G BAUNILHA;NEILAR;MERCEARIA;48;
7896706300413;PUDIM NEILAR 30G CARAMELO;NEILAR;MERCEARIA;48;
7896706300420;PUDIM NEILAR 30G CHOCOLATE;NEILAR;MERCEARIA;48;
7896706300383;PUDIM NEILAR 30G COCO;NEILAR;MERCEARIA;48;
7896706301755;PUDIM NEILAR 30G LEITE CONDENSADO;NEILAR;MERCEARIA;48;
7896706300390;PUDIM NEILAR 30G MORANGO;NEILAR;MERCEARIA;48;
7896706300680;REFRE PO POP FRUTA NEILAR 25G ABACAXI;NEILAR;BEBIDA;160;
7896706304527;REFRE PO POP FRUTA NEILAR 25G ABACAXI C HORTELA;NEILAR;BEBIDA;160;
7896706301946;REFRE PO POP FRUTA NEILAR 25G CAJU;NEILAR;BEBIDA;160;
7896706302448;REFRE PO POP FRUTA NEILAR 25G GOIABA;NEILAR;BEBIDA;160;
7896706301939;REFRE PO POP FRUTA NEILAR 25G GUARANA;NEILAR;BEBIDA;160;
7896706303841;REFRE PO POP FRUTA NEILAR 25G JABUTICABA;NEILAR;BEBIDA;160;
7896706300697;REFRE PO POP FRUTA NEILAR 25G LARANJA;NEILAR;BEBIDA;160;
7896706300703;REFRE PO POP FRUTA NEILAR 25G LIMAO;NEILAR;BEBIDA;160;
7896706304534;REFRE PO POP FRUTA NEILAR 25G LIMONADA SUICA;NEILAR;BEBIDA;160;
7896706300925;REFRE PO POP FRUTA NEILAR 25G MANGA;NEILAR;BEBIDA;160;
7896706300710;REFRE PO POP FRUTA NEILAR 25G MARACUJA;NEILAR;BEBIDA;160;
7896706303834;REFRE PO POP FRUTA NEILAR 25G MELANCIA;NEILAR;BEBIDA;160;
7896706301809;REFRE PO POP FRUTA NEILAR 25G MORANGO;NEILAR;BEBIDA;160;
7896706302844;REFRE PO POP FRUTA NEILAR 25G PERA;NEILAR;BEBIDA;160;
7896706301816;REFRE PO POP FRUTA NEILAR 25G PESSEGO;NEILAR;BEBIDA;160;
7896706300727;REFRE PO POP FRUTA NEILAR 25G SALADA DE FRUTAS;NEILAR;BEBIDA;160;
7896706300734;REFRE PO POP FRUTA NEILAR 25G TANGERINA;NEILAR;BEBIDA;160;
7896706300741;REFRE PO POP FRUTA NEILAR 25G UVA;NEILAR;BEBIDA;160;
7896706300567;SAGU NEILAR 150G MORANGO;NEILAR;MERCEARIA;12;
7896706300574;SAGU NEILAR 150G UVA;NEILAR;MERCEARIA;12;
7896706305296;SAGU NEILAR 150G VINHO;NEILAR;MERCEARIA;12;
7896706300437;SAL GROSSO NEILAR 1KG TEMPERADO;NEILAR;MERCEARIA;10;
7896706303995;SOPAO NEILAR 200G SABOR CARNE;NEILAR;MERCEARIA;16;
7896706304008;SOPAO NEILAR 200G SABOR GALINHA;NEILAR;MERCEARIA;16;
7896706304282;SOPAO NEILAR 200G SABOR LEGUMES;NEILAR;MERCEARIA;16;
7896706304213;TEMPERO MAIS SABOR NEILAR 50G CARNES;NEILAR;MERCEARIA;36;
7897606304305;TEMPERO MAIS SABOR NEILAR 50G FEIJAO;NEILAR;MERCEARIA;36;
7896706304220;TEMPERO MAIS SABOR NEILAR 50G FRANGO;NEILAR;MERCEARIA;36;
7896706304244;TEMPERO MAIS SABOR NEILAR 50G LEGUMES;NEILAR;MERCEARIA;36;
7896706304299;TEMPERO MAIS SABOR NEILAR 50G NORDESTINO;NEILAR;MERCEARIA;36;
4005808631322;DES AERO NIVEA 150ML FEM DERMO CLAREADOR;NIVEA;HIGIENE E BELEZA;12;
7791969016036;DES AERO NIVEA 150ML FEM DRY COMFORT;NIVEA;HIGIENE E BELEZA;12;
7791969016012;DES AERO NIVEA 150ML FEM FRESH NATURAL;NIVEA;HIGIENE E BELEZA;12;
4006000015378;DES AERO NIVEA 150ML FEM FRESH SENSATION;NIVEA;HIGIENE E BELEZA;12;
4005900036667;DES AERO NIVEA 150ML FEM INVISIBLE BLACK E WHITE CLEAR;NIVEA;HIGIENE E BELEZA;12;
4005900429643;DES AERO NIVEA 150ML FEM INVISIBLE BLACK E WHITE FRESH;NIVEA;HIGIENE E BELEZA;12;
4005900937520;DES AERO NIVEA 150ML FEM PEARL BEAUTY PEROLAS NEGRA;NIVEA;HIGIENE E BELEZA;12;
4005808837311;DES AERO NIVEA 150ML FEM PEARL E BEAUTY;NIVEA;HIGIENE E BELEZA;12;
4005900122186;DES AERO NIVEA 150ML FEM PROTECT E CARE;NIVEA;HIGIENE E BELEZA;12;
4005808662388;DES AERO NIVEA 150ML FEM SEM PERFUME;NIVEA;HIGIENE E BELEZA;12;
4005900707543;DES AERO NIVEA 150ML MEN DEEP AMADEIRADO;NIVEA;HIGIENE E BELEZA;12;
4006000104164;DES AERO NIVEA 150ML MEN DEEP SPORT;NIVEA;HIGIENE E BELEZA;12;
